Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
15745134,01/17/2010 01:09:49 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Mixed Use Building,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,02/16/2010 01:09:49 AM,"Please contact the Department of Health and Mental Hygiene's Pest Control Services for updated status of your complaint.  Brooklyn North Office (718) 625-5846 covers zip codes: 11201, 11205, 11206, 11211, 11213, 11215, 11216, 11217, 11221, 11222, 11225, 11231, 11232, 11233, 11237, 11238, 11239.  Brooklyn South Office (718) 629-5800 covers zip codes: 11204, 11207, 11208, 11209, 11210, 11212, 11214, 11218, 11219, 11220, 11203, 11223, 11224, 11225, 11226, 11228, 11229, 11230, 11234, 11235, 11236.",01/17/2010 01:19:20 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
16555117,05/01/2010 12:43:26 AM,05/01/2010 01:52:22 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/01/2010 08:43:26 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,05/01/2010 01:52:22 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
44204287,11/01/2019 06:14:58 PM,11/05/2019 09:02:21 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Signs of Rodents,3+ Family Apartment Building,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST   48 STREET,UTICA AVENUE,EAST   48 STREET,UTICA AVENUE,,BROOKLYN,MIDWOOD STREET,,Closed,,,,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
18530027,08/21/2010 06:27:00 PM,08/22/2010 12:39:08 AM,NYPD,New York City Police Department,Noise - Park,Loud Music/Party,Park/Playground,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/22/2010 02:27:00 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/22/2010 12:39:08 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
18576460,08/28/2010 03:22:30 PM,08/28/2010 03:42:52 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/28/2010 11:22:30 PM,The Police Department responded to the complaint and determined that police action was not necessary.,08/28/2010 03:42:52 PM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
19823531,02/13/2011 05:49:36 AM,02/13/2011 07:05:12 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,02/13/2011 01:49:36 PM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,02/13/2011 07:05:12 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
45123924,12/09/2019 10:44:51 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST   48 STREET,UTICA AVENUE,EAST   48 STREET,UTICA AVENUE,,BROOKLYN,MIDWOOD STREET,,In Progress,,,,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
23916439,09/03/2012 02:37:57 AM,09/03/2012 08:24:00 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/03/2012 10:37:57 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/03/2012 08:23:27 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
24071853,09/22/2012 11:57:41 PM,09/23/2012 01:50:41 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/23/2012 07:57:41 AM,The Police Department responded to the complaint and took action to fix the condition.,09/23/2012 01:49:45 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
24073383,09/22/2012 09:21:12 PM,09/23/2012 01:13:57 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/23/2012 05:21:12 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/23/2012 01:13:14 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
26262482,09/05/2013 08:03:43 AM,09/06/2013 12:23:58 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/05/2013 04:03:43 PM,The Police Department responded to the complaint and took action to fix the condition.,09/06/2013 12:23:03 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
26290481,09/10/2013 11:59:21 PM,09/11/2013 02:37:37 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/11/2013 07:59:21 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/11/2013 02:37:13 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
27722808,03/27/2014 02:09:21 AM,03/27/2014 06:01:11 AM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/27/2014 10:09:21 AM,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,03/27/2014 06:00:34 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
29774950,01/23/2015 05:26:04 PM,01/23/2015 06:01:53 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/24/2015 01:26:04 AM,The Police Department responded to the complaint and took action to fix the condition.,01/23/2015 06:01:23 PM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
29967660,02/17/2015 04:53:54 PM,03/02/2015 09:21:34 AM,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,03/19/2015 04:53:54 PM,The Department of Health and Mental Hygiene has investigated the complaint and no violations were cited.,03/02/2015 09:21:13 AM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
30693262,05/25/2015 11:25:18 PM,05/25/2015 11:42:03 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/26/2015 07:25:18 AM,The Police Department reviewed your complaint and provided additional information below.,05/25/2015 11:41:14 PM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
30695871,05/25/2015 10:23:58 PM,05/25/2015 10:55:36 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11203,832 MIDWOOD STREET,MIDWOOD STREET,EAST 48 STREET,UTICA AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/26/2015 06:23:58 AM,The Police Department responded to the complaint and took action to fix the condition.,05/25/2015 10:55:07 PM,09 BROOKLYN,BROOKLYN,1002949,180195,Unspecified,BROOKLYN,,,,,,,,40.66125061828113,-73.93260212086399,"(40.66125061828113, -73.93260212086399)"
